time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/17:18:12.692819,20,"(1, 1, 1, 1)","(10.290841102600098, 16.20075035095215, 20.526748657226562, 26.642658233642578)","(-0.16490796208381653, -0.16442857682704926, 0.05397859588265419, -0.042089883238077164)","(0.05886830762028694, 0.059347692877054214, -0.17008531093597412, 0.182261660695076)","(0.0, 0.0, 0.004577776417136192, 0.0)","(13.959166526794434, -27.527694702148438, -31.022064208984375, -32.46864318847656)","(8.560441970825195, -32.92641830444336, -24.820703506469727, -24.469741821289062)","(0.08148442208766937, 0.2534562349319458, 0.27481916546821594, 0.3801080286502838)","(0.00015259254723787308, 0.0032044434919953346, 0.003814813680946827, 0.008545182645320892)","(0.0, 3.0518509447574615e-05, 3.0518509447574615e-05, 0.00013733329251408577)","(36.5, 25.600000381469727, 24.899999618530273, 20.700000762939453)"
2023/08/08/17:18:12.734427,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.372753143310547, 10.240486145019531, 10.917996406555176, 11.865596771240234, 11.632129669189453, 13.097018241882324, 13.522751808166504, 14.44288444519043, 15.13412857055664, 15.367595672607422, 16.41132926940918, 18.66817283630371, 19.624927520751953, 20.86550521850586, 21.950437545776367, 23.55723762512207, 24.637592315673828, 26.87612533569336, 28.304391860961914, 28.968168258666992, 29.81963539123535)","(-0.5466890931129456, 0.057909540832042694, 0.06049821525812149, -0.05695077404379845, 0.8644245266914368, 0.868547260761261, -0.2664414048194885, -0.1633739322423935, -0.2739197909832001, 1.128660798072815, -0.888393759727478, 0.3881089687347412, -0.7163909077644348, -0.673629879951477, -0.6166790723800659, -0.5378684401512146, -0.5346086025238037, -0.4889712929725647, 1.1209906339645386, -0.4173513948917389, -0.4114070236682892)","(0.1882060170173645, -0.702009379863739, 0.875066876411438, -0.8693142533302307, 0.053690966218709946, 0.056279636919498444, 0.4590577483177185, 0.577177882194519, 0.45014122128486633, 0.5860944390296936, -0.07104465365409851, -0.33499327301979065, 0.046404335647821426, 0.07967355847358704, 0.12713253498077393, 0.19578027725219727, 0.19817718863487244, 0.23978768289089203, 0.19587615132331848, 0.30507972836494446, 0.31150346994400024)","(0.0, 0.0, 0.0, 0.050355542451143265, 0.16937772929668427, 0.0, 0.0, 0.0, 0.06408887356519699, 0.02288888208568096, 0.0, 0.0, 0.0, 0.004577776417136192, -0.032044436782598495, -0.009155552834272385, 0.01831110566854477, 0.027466658502817154, 0.004577776417136192, 0.004577776417136192, -0.050355542451143265)","(-29.847103118896484, 6.491286754608154, -3.244117498397827, -36.152225494384766, -13.473921775817871, -17.529830932617188, -31.53477668762207, -24.994659423828125, -36.22241973876953, -7.373271942138672, -11.239967346191406, -22.66304588317871, -12.555315017700195, -12.192144393920898, -17.74956512451172, -14.42915153503418, -11.810663223266602, -8.810693740844727, 12.88491439819336, -12.659077644348145, -17.29789161682129)","(-37.046417236328125, 17.493209838867188, 15.753654479980469, -18.552202224731445, -32.071903228759766, -36.3322868347168, -27.13705825805664, -17.395549774169922, -32.0230712890625, -26.773887634277344, -30.23773956298828, -23.664052963256836, -23.75560760498047, -21.59184455871582, -26.749473571777344, -21.628467559814453, -18.811609268188477, -14.609210014343262, -13.513595581054688, -14.261299133300781, -18.69563865661621)","(0.027924437075853348, 0.02075258642435074, 0.027924437075853348, 0.12512588500976562, 0.05081331729888916, 0.09277626872062683, 0.015259254723787308, 0.027924437075853348, 0.16891995072364807, 0.12512588500976562, 0.05081331729888916, 0.027924437075853348, 0.037690360099077225, 0.037690360099077225, 0.06866664439439774, 0.06866664439439774, 0.02075258642435074, 0.05081331729888916, 0.05081331729888916, 0.037690360099077225, 0.12512588500976562)","(0.0198370311409235, 0.017700735479593277, 0.0198370311409235, 0.035248879343271255, 0.025025177747011185, 0.031434066593647, 0.0157170332968235, 0.0198370311409235, 0.0395214706659317, 0.035248879343271255, 0.025025177747011185, 0.0198370311409235, 0.02227851189672947, 0.02227851189672947, 0.028077028691768646, 0.028077028691768646, 0.017700735479593277, 0.025025177747011185, 0.025025177747011185, 0.02227851189672947, 0.035248879343271255)","(6.103701889514923e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 0.00012207403779029846, 0.00013733329251408577, 0.00022888882085680962, 3.0518509447574615e-05, 4.577776417136192e-05, 0.00015259254723787308, 0.0006256294436752796, 0.00015259254723787308, 4.577776417136192e-05, 9.155552834272385e-05, 7.629627361893654e-05, 0.00010681478306651115, 0.00010681478306651115, 4.577776417136192e-05, 7.629627361893654e-05, 0.00032044434919953346, 6.103701889514923e-05, 0.00013733329251408577)","(21.5, 22.200000762939453, 21.200000762939453, 16.799999237060547, 19.200000762939453, 17.100000381469727, 23.899999618530273, 21.700000762939453, 15.899999618530273, 16.799999237060547, 19.799999237060547, 21.399999618530273, 20.700000762939453, 21.0, 18.100000381469727, 18.399999618530273, 22.899999618530273, 19.799999237060547, 19.799999237060547, 20.5, 16.399999618530273)"
2023/08/08/17:18:12.763113,20,"(1, 1, 1, 1)","(10.295418739318848, 16.20075035095215, 20.389415740966797, 26.528213500976562)","(-0.1648120880126953, -0.16490796208381653, 0.05196518450975418, -0.04122699052095413)","(0.058964185416698456, 0.05886830762028694, -0.17209872603416443, 0.18312454223632812)","(0.0, 0.0, 0.0, 0.0)","(13.962218284606934, -28.037355422973633, -32.24280548095703, -30.86642074584961)","(8.563493728637695, -33.43607711791992, -26.041444778442383, -22.66609764099121)","(0.08148442208766937, 0.27481916546821594, 0.27481916546821594, 0.4121524691581726)","(0.00015259254723787308, 0.0035096285864710808, 0.0035096285864710808, 0.009308145381510258)","(0.0, 3.0518509447574615e-05, 3.0518509447574615e-05, 0.000198370311409235)","(36.5, 24.600000381469727, 24.100000381469727, 19.600000381469727)"
2023/08/08/17:18:12.803909,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.386486053466797, 8.894619941711426, 10.240486145019531, 10.917996406555176, 11.760307312011719, 13.11075210571289, 13.481551170349121, 14.43372917175293, 15.578173637390137, 16.370128631591797, 17.33146095275879, 19.638660430908203, 20.998260498046875, 21.863460540771484, 22.843103408813477, 24.779502868652344, 25.12741470336914, 26.038393020629883, 26.931058883666992, 28.299814224243164, 29.622791290283203)","(-0.5487024784088135, 0.35646966099739075, 0.057909540832042694, 0.060594089329242706, 0.8603977560997009, 0.05695077404379845, -0.26471564173698425, -0.162798672914505, -1.0597254037857056, -0.890407145023346, -0.874108076095581, -0.7229105234146118, -0.6584813594818115, -0.717637300491333, -0.590888261795044, -0.5267467498779297, -0.5226240158081055, -0.5434292554855347, -0.4830269515514374, 1.09347403049469, -0.4291442334651947)","(0.18648022413253784, -0.36576971411705017, -0.702009379863739, 0.8751627206802368, 0.04563732072710991, 0.8696019053459167, -1.3178255558013916, 0.5779448747634888, -0.5476478338241577, -0.0722910538315773, -0.06001883000135422, 0.04122699052095413, 0.09108288586139679, 0.045541442930698395, 0.15129347145557404, 0.20527206361293793, 0.20881950855255127, 0.19089056551456451, 0.24458152055740356, 0.18312454223632812, 0.2949168086051941)","(0.004577776417136192, 0.0, 0.0, 0.0, 0.07324442267417908, 0.004577776417136192, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, 0.0, -0.004577776417136192, 0.0, -0.01831110566854477, -0.004577776417136192, 0.0, 0.013733329251408577, -0.004577776417136192, -0.013733329251408577)","(-30.036317825317383, -36.692405700683594, 6.469923973083496, -3.158665657043457, -7.760857105255127, -35.236671447753906, -32.30689239501953, -25.168615341186523, -3.775139570236206, -10.412915229797363, -10.806604385375977, -7.5777459144592285, -15.20737361907959, -18.527786254882812, -10.666218757629395, -9.811700820922852, -9.292885780334473, -17.966245651245117, -10.946989059448242, 9.686574935913086, -7.077242374420166)","(-37.235633850097656, -36.692405700683594, 17.468795776367188, 15.839106559753418, -25.962095260620117, -16.43726921081543, 17.28873634338379, -17.56950569152832, -22.376171112060547, -29.81353187561035, -28.40662956237793, -18.976409912109375, -24.805444717407227, -29.72808074951172, -18.86654281616211, -16.41285514831543, -15.89404010772705, -25.165563583374023, -16.147342681884766, -16.309091567993164, -9.677419662475586)","(0.027924437075853348, 0.06866664439439774, 0.02075258642435074, 0.027924437075853348, 0.02075258642435074, 0.09277626872062683, 0.02075258642435074, 0.027924437075853348, 0.037690360099077225, 0.027924437075853348, 0.09277626872062683, 0.015259254723787308, 0.027924437075853348, 0.09277626872062683, 0.015259254723787308, 0.00839259009808302, 0.00839259009808302, 0.12512588500976562, 0.09277626872062683, 0.09277626872062683, 0.05081331729888916)","(0.0158696249127388, 0.022431105375289917, 0.014191106893122196, 0.0158696249127388, 0.014191106893122196, 0.025177771225571632, 0.014191106893122196, 0.0158696249127388, 0.017853328958153725, 0.0158696249127388, 0.025177771225571632, 0.012665181420743465, 0.0158696249127388, 0.025177771225571632, 0.012665181420743465, 0.010071108117699623, 0.010071108117699623, 0.028229622170329094, 0.025177771225571632, 0.025177771225571632, 0.019989624619483948)","(6.103701889514923e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 7.629627361893654e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 0.000198370311409235, 0.00010681478306651115, 0.00022888882085680962, 4.577776417136192e-05, 6.103701889514923e-05, 0.00016785180196166039, 3.0518509447574615e-05, 1.5259254723787308e-05, 1.5259254723787308e-05, 0.00015259254723787308, 0.00012207403779029846, 0.0004425183869898319, 7.629627361893654e-05)","(21.200000762939453, 18.700000762939453, 22.5, 21.299999237060547, 22.5, 17.5, 22.399999618530273, 21.399999618530273, 20.299999237060547, 21.299999237060547, 17.899999618530273, 23.0, 21.299999237060547, 17.899999618530273, 23.899999618530273, 25.799999237060547, 25.899999618530273, 16.700000762939453, 17.700000762939453, 17.600000381469727, 19.200000762939453)"
2023/08/08/17:18:12.843283,20,"(1, 1, 1, 1)","(10.290841102600098, 16.20075035095215, 20.43977165222168, 26.528213500976562)","(-0.16490796208381653, -0.16625024378299713, 0.0527321994304657, -0.041706375777721405)","(0.05886830762028694, 0.057717788964509964, -0.17133170366287231, 0.18264515697956085)","(0.0, 0.0, 0.0, 0.004577776417136192)","(13.983580589294434, -28.098392486572266, -31.638538360595703, -31.598865509033203)","(8.581805229187012, -33.69853973388672, -25.437177658081055, -23.599964141845703)","(0.08148442208766937, 0.27481916546821594, 0.2534562349319458, 0.44694358110427856)","(0.00015259254723787308, 0.004119998775422573, 0.0033570360392332077, 0.01388592179864645)","(0.0, 3.0518509447574615e-05, 1.5259254723787308e-05, 0.00027466658502817154)","(36.5, 24.299999237060547, 25.399999618530273, 18.899999618530273)"
2023/08/08/17:18:12.884336,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.377330780029297, 8.940397262573242, 10.240486145019531, 10.917996406555176, 12.181463241577148, 13.476973533630371, 14.415417671203613, 15.422529220581055, 16.475418090820312, 17.514572143554688, 19.57457160949707, 20.577104568481445, 20.920438766479492, 21.8405704498291, 22.45399284362793, 23.09946060180664, 23.941770553588867, 24.84817123413086, 26.85781478881836, 28.327280044555664, 29.398479461669922)","(-0.5452509522438049, 0.35445624589920044, 0.05781366676092148, 0.060594089329242706, 0.8533028364181519, -0.2644280195236206, -0.16375744342803955, 1.099226713180542, -0.8882020115852356, -0.8797648549079895, -0.7186919450759888, -0.1790977269411087, -0.6199389100074768, -0.605845034122467, 0.47506916522979736, -0.5857109427452087, -0.5917511582374573, -0.5236786603927612, -0.4720011055469513, -0.46922069787979126, -0.43010300397872925)","(0.1894524097442627, -0.3680707514286041, -0.7022011280059814, 0.8751627206802368, 0.041322868317365646, 0.46116703748703003, 0.5767943859100342, 0.5699871182441711, -0.07085289806127548, -0.06452503800392151, 0.045157939195632935, -1.0832152366638184, 0.12444798648357391, 0.136720210313797, -0.25215578079223633, 0.15484091639518738, 0.14985531568527222, 0.20757311582565308, 0.25368982553482056, 0.25627848505973816, 0.29395803809165955)","(0.0, 0.004577776417136192, 0.0, 0.0, 0.13275551795959473, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, 0.009155552834272385, 0.0, 0.0, -0.009155552834272385, 0.02288888208568096, 0.027466658502817154, 0.013733329251408577)","(-29.950864791870117, -37.000640869140625, 6.4973907470703125, -3.1952879428863525, -8.77101993560791, -31.379131317138672, -24.976348876953125, -4.855494976043701, -9.11587905883789, -13.187047958374023, -11.12094497680664, -27.8237247467041, -16.479995727539062, -18.369091033935547, -22.23578643798828, -4.211554527282715, -16.43421745300293, -11.606188774108887, -11.66112232208252, -8.508560180664062, -14.072084426879883)","(-37.15018081665039, -37.000640869140625, 17.496261596679688, 15.799432754516602, -26.371044158935547, -26.978363037109375, -17.374187469482422, -23.856319427490234, -28.113651275634766, -31.388286590576172, -22.321237564086914, -1.2237921953201294, -25.479904174804688, -27.167577743530273, -27.436140060424805, -12.213507652282715, -24.634540557861328, -18.20734214782715, -16.061891555786133, -12.710959434509277, -16.67226219177246)","(0.027924437075853348, 0.09277626872062683, 0.02075258642435074, 0.027924437075853348, 0.011291848495602608, 0.011291848495602608, 0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.12512588500976562, 0.027924437075853348, 0.16891995072364807, 0.12512588500976562, 0.037690360099077225, 0.06866664439439774, 0.0010681478306651115, 0.05081331729888916, 0.015259254723787308, 0.011291848495602608, 0.006256294436752796, 0.06866664439439774)","(0.01739555038511753, 0.027466658502817154, 0.01541184727102518, 0.01739555038511753, 0.01235999632626772, 0.01235999632626772, 0.01739555038511753, 0.021820735186338425, 0.01739555038511753, 0.03082369454205036, 0.01739555038511753, 0.034485917538404465, 0.03082369454205036, 0.019379254430532455, 0.024414807558059692, 0.0048829615116119385, 0.021820735186338425, 0.013733329251408577, 0.01235999632626772, 0.009765923023223877, 0.024414807558059692)","(6.103701889514923e-05, 0.00010681478306651115, 3.0518509447574615e-05, 4.577776417136192e-05, 4.577776417136192e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 0.00028992583975195885, 9.155552834272385e-05, 0.00027466658502817154, 7.629627361893654e-05, 0.00015259254723787308, 0.00016785180196166039, 7.629627361893654e-05, 9.155552834272385e-05, 0.0, 9.155552834272385e-05, 3.0518509447574615e-05, 3.0518509447574615e-05, 1.5259254723787308e-05, 9.155552834272385e-05)","(21.200000762939453, 17.899999618530273, 22.5, 21.200000762939453, 24.799999237060547, 24.299999237060547, 21.899999618530273, 19.600000381469727, 22.0, 16.399999618530273, 21.5, 15.699999809265137, 16.700000762939453, 20.399999618530273, 18.0, 32.599998474121094, 19.200000762939453, 23.899999618530273, 24.100000381469727, 26.799999237060547, 18.600000381469727)"
2023/08/08/17:18:12.913157,20,"(1, 1, 1, 1)","(10.286263465881348, 16.20075035095215, 20.471817016601562, 26.41834831237793)","(-0.16490796208381653, -0.16519559919834137, 0.052061062306165695, -0.042089883238077164)","(0.05886830762028694, 0.0585806779563427, -0.1720028519630432, 0.18216577172279358)","(0.0, 0.0, 0.0, 0.0)","(13.98663330078125, -27.643665313720703, -31.59276008605957, -31.73925018310547)","(8.587908744812012, -33.042388916015625, -25.394451141357422, -23.73729705810547)","(0.08148442208766937, 0.2534562349319458, 0.27481916546821594, 0.3505050837993622)","(0.00015259254723787308, 0.0032044434919953346, 0.003814813680946827, 0.0070192571729421616)","(0.0, 3.0518509447574615e-05, 3.0518509447574615e-05, 9.155552834272385e-05)","(36.5, 25.100000381469727, 24.200000762939453, 21.5)"
2023/08/08/17:18:12.953760,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.409375190734863, 10.240486145019531, 10.917996406555176, 12.181463241577148, 13.074129104614258, 13.504440307617188, 14.43372917175293, 15.001373291015625, 16.521194458007812, 18.43928337097168, 19.849239349365234, 20.590837478637695, 21.904659271240234, 23.158971786499023, 24.779502868652344, 25.484481811523438, 26.798303604125977, 28.331857681274414, 29.013946533203125)","(-0.5460179448127747, 0.057909540832042694, 0.060594089329242706, 0.8577131628990173, 0.8709441423416138, -0.2635651230812073, -0.16452446579933167, 0.17133170366287231, -0.890694797039032, -0.8233892917633057, -0.7105423808097839, -0.1738245040178299, -0.6422781944274902, -0.5903130173683167, -0.5378684401512146, -0.510351836681366, -0.5973119735717773, 1.0975009202957153, -0.42684316635131836)","(0.188781276345253, -0.7021052837371826, 0.8751627206802368, 0.04419916868209839, 0.057909540832042694, -1.312072992324829, 0.5758355855941772, 1.0661492347717285, -0.07248280197381973, -0.027037236839532852, 0.0508146658539772, -1.070942997932434, 0.10460150986909866, 0.1517728567123413, 0.19578027725219727, 0.21965357661247253, 0.14467798173427582, 0.18504208326339722, 0.2976972460746765)","(0.0, 0.0, 0.0, 0.06408887356519699, 0.0, 0.009155552834272385, 0.0, -0.009155552834272385, 0.004577776417136192, 0.0, 0.0, 0.0, 0.009155552834272385, 0.009155552834272385, -0.013733329251408577, 0.0, -0.009155552834272385, 0.009155552834272385, 0.004577776417136192)","(-29.98443603515625, 6.479079723358154, -3.21970272064209, -2.832117795944214, -16.791284561157227, -31.608020782470703, -25.699636459350586, -33.298744201660156, -7.754753112792969, -12.43018913269043, -10.589922904968262, -27.527694702148438, -11.21555233001709, -8.484145164489746, -12.900174140930176, -6.189153671264648, -16.583757400512695, 9.289834022521973, -10.562456130981445)","(-37.18680191040039, 17.477951049804688, 15.775017738342285, -20.633563995361328, -35.5906867980957, 17.99066162109375, -18.100528717041016, -7.296975612640381, -27.15536880493164, -29.029205322265625, -21.79021644592285, -1.3275551795959473, -21.015045166015625, -16.68141746520996, -20.099491119384766, -12.387462615966797, -25.183874130249023, -16.70888328552246, -12.762840270996094)","(0.037690360099077225, 0.02075258642435074, 0.027924437075853348, 0.02075258642435074, 0.12512588500976562, 0.011291848495602608, 0.02075258642435074, 0.06866664439439774, 0.027924437075853348, 0.027924437075853348, 0.037690360099077225, 0.12512588500976562, 0.011291848495602608, 0.0033570360392332077, 0.05081331729888916, 0.011291848495602608, 0.05081331729888916, 0.06866664439439774, 0.037690360099077225)","(0.02151555009186268, 0.017090365290641785, 0.01907406933605671, 0.017090365290641785, 0.03402813896536827, 0.013580736704170704, 0.017090365290641785, 0.02700888179242611, 0.01907406933605671, 0.01907406933605671, 0.02151555009186268, 0.03402813896536827, 0.013580736704170704, 0.008545182645320892, 0.024109622463583946, 0.013580736704170704, 0.024109622463583946, 0.02700888179242611, 0.02151555009186268)","(6.103701889514923e-05, 3.0518509447574615e-05, 4.577776417136192e-05, 7.629627361893654e-05, 0.00027466658502817154, 1.5259254723787308e-05, 3.0518509447574615e-05, 7.629627361893654e-05, 0.00010681478306651115, 9.155552834272385e-05, 9.155552834272385e-05, 0.00012207403779029846, 3.0518509447574615e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 9.155552834272385e-05, 0.0003662221133708954, 6.103701889514923e-05)","(21.0, 22.399999618530273, 21.100000381469727, 23.0, 16.799999237060547, 24.0, 22.0, 18.200000762939453, 21.299999237060547, 21.100000381469727, 20.899999618530273, 16.600000381469727, 24.399999618530273, 28.299999237060547, 19.600000381469727, 24.200000762939453, 19.600000381469727, 18.100000381469727, 20.399999618530273)"
2023/08/08/17:18:12.993100,20,"(1, 1, 1, 1)","(10.290841102600098, 16.20075035095215, 20.43977165222168, 26.500747680664062)","(-0.16500385105609894, -0.1627027988433838, 0.05196518450975418, -0.04563732072710991)","(0.05886830762028694, 0.060977596789598465, -0.17219460010528564, 0.1784265786409378)","(0.0, 0.0, 0.004577776417136192, 0.0)","(13.962218284606934, -27.53990364074707, -31.931516647338867, -32.22449493408203)","(8.560441970825195, -32.941680908203125, -25.73015594482422, -24.625385284423828)","(0.08148442208766937, 0.2534562349319458, 0.27481916546821594, 0.3801080286502838)","(0.00015259254723787308, 0.0028992583975195885, 0.0035096285864710808, 0.0079348124563694)","(0.0, 3.0518509447574615e-05, 3.0518509447574615e-05, 0.00013733329251408577)","(36.5, 25.299999237060547, 24.899999618530273, 20.700000762939453)"
2023/08/08/17:18:13.034270,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.381908416748047, 8.89004135131836, 10.240486145019531, 10.917996406555176, 11.760307312011719, 13.106173515319824, 13.536484718322754, 14.461195945739746, 15.363018035888672, 16.402172088623047, 18.517105102539062, 18.85586166381836, 19.858394622802734, 20.810571670532227, 21.9779052734375, 23.277992248535156, 23.941770553588867, 24.770347595214844, 27.237770080566406, 29.174169540405273)","(-0.5466890931129456, 0.3582913279533386, 0.05781366676092148, 0.060594089329242706, 0.8600142002105713, 0.05484148859977722, -0.2650032639503479, -0.16711312532424927, 0.8583843111991882, -0.8896401524543762, 0.8133222460746765, -0.7382507920265198, -0.7091042399406433, -0.6504276990890503, -0.6240615844726562, -0.5805335640907288, -0.5600159764289856, -0.514282763004303, -0.4708505868911743, -0.4311576187610626)","(0.1882060170173645, -0.364523321390152, -0.7021052837371826, 0.8751627206802368, 0.045349691063165665, 0.866246223449707, 0.46068766713142395, 0.5735345482826233, 0.044774431735277176, -0.07181166857481003, 0.3781377971172333, -0.32914480566978455, 0.05186930671334267, 0.0976983830332756, 0.12051704525947571, 0.1594429910182953, 0.17727605998516083, 0.21629789471626282, 0.2547444701194763, 0.2935745418071747)","(0.004577776417136192, 0.0, 0.0, 0.0, 0.04119998961687088, -0.009155552834272385, 0.0, 0.0, 0.05951109528541565, 0.0, 0.0, -0.004577776417136192, 0.009155552834272385, -0.004577776417136192, -0.004577776417136192, 0.0, 0.04119998961687088, 0.032044436782598495, -0.009155552834272385, 0.0)","(-29.908140182495117, -37.56828689575195, 6.469923973083496, -3.149510145187378, -8.227789878845215, -35.6120491027832, -31.046480178833008, -24.802392959594727, -14.844202995300293, -10.0955228805542, -11.758781433105469, -14.734335899353027, -13.385417938232422, -9.295937538146973, -13.473921775817871, -7.513657093048096, -14.566484451293945, -11.932737350463867, -8.545182228088379, -11.090426445007324)","(-37.10745620727539, -37.76970672607422, 17.468795776367188, 15.848261833190918, -26.42902946472168, -17.014068603515625, -26.648761749267578, -17.401653289794922, -33.042388916015625, -29.496139526367188, -21.958066940307617, -23.13302993774414, -24.387340545654297, -19.09543228149414, -22.473831176757812, -15.11581802368164, -21.56743049621582, -18.134098052978516, -12.945951461791992, -13.690603256225586)","(0.027924437075853348, 0.09277626872062683, 0.02075258642435074, 0.027924437075853348, 0.027924437075853348, 0.09277626872062683, 0.011291848495602608, 0.027924437075853348, 0.12512588500976562, 0.037690360099077225, 0.027924437075853348, 0.027924437075853348, 0.05081331729888916, 0.00839259009808302, 0.05081331729888916, 0.037690360099077225, 0.05081331729888916, 0.037690360099077225, 0.004577776417136192, 0.05081331729888916)","(0.015564439818263054, 0.02471999265253544, 0.01388592179864645, 0.015564439818263054, 0.015564439818263054, 0.02471999265253544, 0.010986663401126862, 0.015564439818263054, 0.0276192519813776, 0.01754814386367798, 0.015564439818263054, 0.015564439818263054, 0.019531846046447754, 0.00991851557046175, 0.019531846046447754, 0.01754814386367798, 0.019531846046447754, 0.01754814386367798, 0.007782219909131527, 0.019531846046447754)","(6.103701889514923e-05, 0.00010681478306651115, 3.0518509447574615e-05, 4.577776417136192e-05, 9.155552834272385e-05, 9.155552834272385e-05, 1.5259254723787308e-05, 4.577776417136192e-05, 0.00025940733030438423, 0.00012207403779029846, 7.629627361893654e-05, 7.629627361893654e-05, 0.00010681478306651115, 3.0518509447574615e-05, 9.155552834272385e-05, 7.629627361893654e-05, 7.629627361893654e-05, 6.103701889514923e-05, 1.5259254723787308e-05, 7.629627361893654e-05)","(21.700000762939453, 17.899999618530273, 22.5, 21.200000762939453, 21.5, 17.600000381469727, 24.200000762939453, 21.700000762939453, 16.899999618530273, 20.399999618530273, 21.100000381469727, 21.399999618530273, 19.600000381469727, 25.100000381469727, 19.5, 20.700000762939453, 19.5, 20.399999618530273, 27.700000762939453, 19.899999618530273)"
