time,.id,.scantype,.range,.azimuth1,.azimuth2,.VrelRad,.RCS1,.RCS2,.rangevar,.vrelradvar,.azimuthvar,.SNR
2023/08/08/18:15:02.009242,20,"(1, 1, 1)","(9.974974632263184, 20.00946044921875, 26.949369430541992)","(0.053499214351177216, 0.04256926476955414, -0.03873419761657715)","(-0.1706605702638626, -0.18206989765167236, 0.1856173425912857)","(0.0, 0.0, 0.0)","(-26.389354705810547, 9.183019638061523, -35.245826721191406)","(-20.1910457611084, 16.583757400512695, -26.84713363647461)","(0.10391552746295929, 0.23361918330192566, 0.5256813168525696)","(0.00030518509447574615, 0.0027466658502817154, 0.02075258642435074)","(0.0, 1.5259254723787308e-05, 0.0005493331700563431)","(36.29999923706055, 26.100000381469727, 16.799999237060547)"
2023/08/08/18:15:02.060345,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.326974868774414, 9.23337459564209, 10.121463775634766, 11.714529991149902, 12.112796783447266, 13.458662986755371, 14.749595642089844, 16.740928649902344, 18.23786163330078, 19.968259811401367, 21.437726974487305, 21.56590461730957, 21.629993438720703, 22.312082290649414, 23.415327072143555, 24.637592315673828, 25.388347625732422, 26.601459503173828, 28.16705894470215, 28.981903076171875)","(-0.5493736267089844, -0.8735328316688538, 0.054266225546598434, -0.0585806779563427, 0.033365100622177124, -0.26864659786224365, -0.1770843118429184, -0.8871473670005798, -0.8474543690681458, 0.2570455074310303, -0.4624134600162506, -0.46730315685272217, -0.4537845253944397, -0.6003800630569458, -0.5589613318443298, -1.132304072380066, -0.5073796510696411, -0.4843692183494568, -0.46337220072746277, -0.4232957363128662)","(0.18571321666240692, -0.05973120033740997, 0.8653833270072937, -0.8718070387840271, 0.8411265015602112, 0.4563732147216797, -1.0776543617248535, -0.07018176466226578, -0.04487030580639839, 1.2874326705932617, 0.26327750086784363, 0.25829190015792847, 0.27123525738716125, 0.14218518137931824, 0.1777554452419281, -0.201820507645607, 0.22214637696743011, 0.2441980242729187, 0.2624146044254303, 0.30038177967071533)","(0.0, -0.004577776417136192, 0.0, 0.004577776417136192, 0.004577776417136192, 0.004577776417136192, 0.0, 0.0, 0.0, 0.0, -0.2609332501888275, -1.2588884830474854, 0.0, 0.0, 0.0, -0.027466658502817154, 0.009155552834272385, 0.004577776417136192, 0.0, 0.0)","(-28.44019889831543, -25.11978530883789, -22.046571731567383, -41.09927749633789, -41.09012222290039, -32.172611236572266, -27.368999481201172, -4.824976444244385, -15.277565956115723, 22.067934036254883, -5.722220420837402, -19.75463104248047, -13.595995903015137, -9.091464042663574, -13.058870315551758, 7.666249752044678, -14.276558876037598, -7.235938549041748, -9.860530853271484, -15.970335960388184)","(-35.6425666809082, -42.719810485839844, -3.448591470718384, -23.499252319335938, -24.289682388305664, -27.9732666015625, -0.7690664529800415, -23.8227481842041, -32.47779846191406, 56.27002716064453, -9.723196983337402, -23.75560760498047, -17.395549774169922, -17.691579818725586, -20.059816360473633, -20.331430435180664, -20.477920532226562, -12.634662628173828, -13.858454704284668, -18.16766929626465)","(0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.12512588500976562, 0.16891995072364807, 0.02075258642435074, 0.05081331729888916, 0.015259254723787308, 0.16891995072364807, 0.0025940733030438423, 0.0013733329251408577, 0.16891995072364807, 0.015259254723787308, 0.006256294436752796, 0.05081331729888916, 0.02075258642435074, 0.05081331729888916, 0.06866664439439774, 0.006256294436752796, 0.06866664439439774)","(0.017853328958153725, 0.025177771225571632, 0.017853328958153725, 0.0315866582095623, 0.03555406257510185, 0.0158696249127388, 0.022431105375289917, 0.014191106893122196, 0.03555406257510185, 0.007171849720180035, 0.005645924247801304, 0.03555406257510185, 0.014191106893122196, 0.010071108117699623, 0.022431105375289917, 0.0158696249127388, 0.022431105375289917, 0.025177771225571632, 0.010071108117699623, 0.025177771225571632)","(6.103701889514923e-05, 0.000198370311409235, 4.577776417136192e-05, 0.00012207403779029846, 0.00013733329251408577, 3.0518509447574615e-05, 6.103701889514923e-05, 6.103701889514923e-05, 0.00032044434919953346, 0.0, 0.0, 0.0001831110566854477, 3.0518509447574615e-05, 1.5259254723787308e-05, 7.629627361893654e-05, 0.0001831110566854477, 7.629627361893654e-05, 9.155552834272385e-05, 1.5259254723787308e-05, 9.155552834272385e-05)","(21.5, 18.899999618530273, 21.700000762939453, 16.700000762939453, 16.0, 22.799999237060547, 19.700000762939453, 23.200000762939453, 15.899999618530273, 29.5, 31.5, 15.600000381469727, 23.100000381469727, 26.299999237060547, 19.899999618530273, 22.799999237060547, 19.200000762939453, 18.299999237060547, 26.200000762939453, 18.5)"
2023/08/08/18:15:02.089280,20,"(1, 1, 1)","(9.98870849609375, 20.00946044921875, 26.68843650817871)","(0.05359508842229843, 0.0429527722299099, -0.041514620184898376)","(-0.17046882212162018, -0.1815905123949051, 0.18274103105068207)","(0.0, 0.0, 0.009155552834272385)","(-26.386302947998047, 8.832056999206543, -34.769737243652344)","(-20.1849422454834, 16.23279571533203, -26.770835876464844)","(0.10391552746295929, 0.23361918330192566, 0.5256813168525696)","(0.00030518509447574615, 0.0025940733030438423, 0.018768884241580963)","(0.0, 1.5259254723787308e-05, 0.0005493331700563431)","(36.5, 26.399999618530273, 16.600000381469727)"
2023/08/08/18:15:02.131050,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34070873260498, 9.21964168548584, 10.116886138916016, 11.728262901306152, 13.444929122924805, 14.722128868103027, 16.800439834594727, 17.638172149658203, 18.393505096435547, 19.968259811401367, 21.359905242919922, 21.451459884643555, 21.456037521362305, 22.293771743774414, 23.31919288635254, 24.765769958496094, 25.621814727783203, 26.42750358581543, 28.322702407836914, 28.981903076171875)","(-0.5474560856819153, -0.8814905881881714, 0.05436210334300995, -0.05982707813382149, -0.26845481991767883, -0.1777554452419281, -0.892037034034729, -0.8742039799690247, -0.7696983218193054, 0.2572372555732727, -0.45493507385253906, -0.4641392230987549, -0.46337220072746277, -0.5774655342102051, -0.5444839000701904, 0.15810072422027588, -0.510351836681366, -0.48945069313049316, -0.4653856158256531, -0.44036179780960083)","(0.1874389946460724, -0.06567555665969849, 0.8655750751495361, -0.8737245798110962, 0.4565649628639221, -1.0802431106567383, -0.07324981689453125, -0.06011470779776573, 0.008820658549666405, 1.2880079746246338, 0.2701806128025055, 0.2616475820541382, 0.2623187303543091, 0.16174402832984924, 0.18993179500102997, 1.0398789644241333, 0.21965357661247253, 0.23930831253528595, 0.26011356711387634, 0.2840827405452728)","(0.0, 0.0, 0.004577776417136192, 0.0, 0.004577776417136192, 0.0, 0.0, 0.009155552834272385, 0.0, 0.0, -0.19226661324501038, -0.9201330542564392, -0.45777764916419983, 0.0, 0.004577776417136192, -0.01831110566854477, 0.0, 0.0, 0.0, -0.009155552834272385)","(-29.001739501953125, -23.56639289855957, -22.086244583129883, -40.736106872558594, -32.49000549316406, -27.77184295654297, -3.7110507488250732, -17.365032196044922, -17.221595764160156, 22.370067596435547, -6.915494441986084, -9.14029312133789, -13.345744132995605, -17.044588088989258, -11.725211143493652, -15.11581802368164, -11.078219413757324, -9.598071098327637, -6.43940544128418, -16.934720993041992)","(-36.20105743408203, -42.36579513549805, -3.4852137565612793, -23.13608169555664, -28.290658950805664, -1.1719107627868652, -23.11166763305664, -34.965057373046875, -30.820642471313477, 56.3707389831543, -10.715048789978027, -13.13821792602539, -17.346721649169922, -24.44532585144043, -18.924528121948242, 10.681478500366211, -17.276527404785156, -15.399640083312988, -10.44038200378418, -20.136112213134766)","(0.027924437075853348, 0.05081331729888916, 0.027924437075853348, 0.12512588500976562, 0.02075258642435074, 0.05081331729888916, 0.011291848495602608, 0.12512588500976562, 0.12512588500976562, 0.0025940733030438423, 0.004577776417136192, 0.00839259009808302, 0.037690360099077225, 0.12512588500976562, 0.06866664439439774, 0.02075258642435074, 0.02075258642435074, 0.05081331729888916, 0.0025940733030438423, 0.06866664439439774)","(0.019531846046447754, 0.02456740103662014, 0.019531846046447754, 0.03479110077023506, 0.01739555038511753, 0.02456740103662014, 0.01388592179864645, 0.03479110077023506, 0.03479110077023506, 0.007782219909131527, 0.009765923023223877, 0.01235999632626772, 0.021973326802253723, 0.03479110077023506, 0.0276192519813776, 0.01739555038511753, 0.01739555038511753, 0.02456740103662014, 0.007782219909131527, 0.0276192519813776)","(6.103701889514923e-05, 0.00015259254723787308, 4.577776417136192e-05, 0.00012207403779029846, 3.0518509447574615e-05, 6.103701889514923e-05, 4.577776417136192e-05, 0.00028992583975195885, 0.00022888882085680962, 0.0, 1.5259254723787308e-05, 1.5259254723787308e-05, 6.103701889514923e-05, 0.00016785180196166039, 0.00010681478306651115, 3.0518509447574615e-05, 4.577776417136192e-05, 7.629627361893654e-05, 1.5259254723787308e-05, 9.155552834272385e-05)","(21.299999237060547, 19.100000381469727, 21.600000381469727, 16.5, 22.600000381469727, 19.399999618530273, 24.200000762939453, 16.5, 16.299999237060547, 29.600000381469727, 27.200000762939453, 25.100000381469727, 20.100000381469727, 16.799999237060547, 18.899999618530273, 22.600000381469727, 22.399999618530273, 19.399999618530273, 29.0, 18.399999618530273)"
2023/08/08/18:15:02.169682,20,"(1, 1, 1, 1)","(9.99786376953125, 14.598528861999512, 20.023193359375, 26.775413513183594)","(0.05359508842229843, -0.04832186922430992, 0.04276102036237717, -0.039501212537288666)","(-0.1705646961927414, 0.17555028200149536, -0.18187814950942993, 0.1848503202199936)","(0.0, 0.0, 0.0, -0.004577776417136192)","(-26.505325317382812, -40.53163146972656, 9.054841995239258, -36.57338333129883)","(-20.307016372680664, -33.33231735229492, 16.45252799987793, -28.1746883392334)","(0.10391552746295929, 0.3801080286502838, 0.23361918330192566, 0.5700857639312744)","(0.00030518509447574615, 0.007782219909131527, 0.002288888208568096, 0.021210364997386932)","(0.0, 0.00013733329251408577, 1.5259254723787308e-05, 0.00079348124563694)","(36.20000076293945, 20.600000381469727, 26.299999237060547, 16.0)"
2023/08/08/18:15:02.210358,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34986400604248, 9.201330184936523, 10.121463775634766, 11.760307312011719, 13.495285034179688, 14.699239730834961, 15.532395362854004, 16.786706924438477, 17.638172149658203, 19.97283935546875, 21.382793426513672, 21.350749969482422, 22.24799346923828, 23.520614624023438, 24.509414672851562, 25.241859436035156, 26.537370681762695, 27.30185890197754, 28.377635955810547, 29.398479461669922)","(-0.5503324270248413, -0.8515770435333252, 0.05455385521054268, -0.05330745875835419, -0.26864659786224365, -0.17794720828533173, 1.0876256227493286, -0.8886813521385193, -0.8399760127067566, 0.2572372555732727, -0.4571402370929718, -0.4657691419124603, -0.610447108745575, -0.5525375604629517, -1.150712490081787, -0.5417993664741516, -0.48925891518592834, -0.501243531703949, -0.45100411772727966, -0.4115987718105316)","(0.18504208326339722, -0.047171350568532944, 0.8657668232917786, -0.8637534379959106, 0.4563732147216797, -1.0806266069412231, 0.5637551546096802, -0.07114052772521973, -0.03940533474087715, 1.2880079746246338, 0.26807132363319397, 0.2597300410270691, 0.1327892690896988, 0.18312454223632812, -0.21044941246509552, 0.19232870638370514, 0.23950006067752838, 0.22741958498954773, 0.2735362946987152, 0.3113117218017578)","(0.0, 0.004577776417136192, 0.0, 0.0, -0.004577776417136192, 0.0, 0.013733329251408577, 0.0, 0.009155552834272385, 0.0, -0.3158665597438812, -0.6408886909484863, 0.0, 0.0, -0.027466658502817154, 0.009155552834272385, 0.0, 0.0, 0.0, 0.009155552834272385)","(-28.760643005371094, -25.684377670288086, -22.043519973754883, -39.9517822265625, -32.86538314819336, -27.219459533691406, -9.958189964294434, -5.072176456451416, -17.880794525146484, 22.20831871032715, -3.454695224761963, -13.65703296661377, -7.242042064666748, -17.175817489624023, 11.471907615661621, -8.523819923400879, -6.997894287109375, -16.614276885986328, -6.5065460205078125, -19.013031005859375)","(-35.9630126953125, -42.88460922241211, -3.445539712905884, -22.351757049560547, -28.66603660583496, -0.4211554229259491, -28.959012985229492, -24.072999954223633, -34.87960433959961, 56.20899200439453, -7.254249572753906, -17.658010482788086, -16.24195098876953, -24.375133514404297, -16.925565719604492, -15.723135948181152, -12.799463272094727, -22.614215850830078, -10.1077299118042, -20.41383171081543)","(0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.06866664439439774, 0.02075258642435074, 0.05081331729888916, 0.16891995072364807, 0.015259254723787308, 0.12512588500976562, 0.0025940733030438423, 0.0010681478306651115, 0.027924437075853348, 0.015259254723787308, 0.09277626872062683, 0.00839259009808302, 0.02075258642435074, 0.05081331729888916, 0.12512588500976562, 0.00839259009808302, 0.06866664439439774)","(0.0157170332968235, 0.02212592028081417, 0.0157170332968235, 0.02212592028081417, 0.014038514345884323, 0.0196844395250082, 0.031281471252441406, 0.012512588873505592, 0.0277718435972929, 0.006256294436752796, 0.004425183869898319, 0.0157170332968235, 0.012512588873505592, 0.024872586131095886, 0.00991851557046175, 0.014038514345884323, 0.0196844395250082, 0.0277718435972929, 0.00991851557046175, 0.02212592028081417)","(6.103701889514923e-05, 0.00016785180196166039, 4.577776417136192e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 6.103701889514923e-05, 0.0006561479531228542, 6.103701889514923e-05, 0.00025940733030438423, 0.0, 0.0, 4.577776417136192e-05, 4.577776417136192e-05, 0.00012207403779029846, 0.00010681478306651115, 4.577776417136192e-05, 7.629627361893654e-05, 0.00015259254723787308, 1.5259254723787308e-05, 9.155552834272385e-05)","(21.100000381469727, 18.399999618530273, 21.799999237060547, 18.600000381469727, 22.399999618530273, 20.0, 15.699999809265137, 23.0, 16.5, 29.600000381469727, 32.900001525878906, 21.899999618530273, 24.0, 17.5, 25.5, 22.299999237060547, 19.100000381469727, 16.299999237060547, 25.200000762939453, 18.100000381469727)"
2023/08/08/18:15:02.240081,20,"(1, 1, 1)","(9.979552268981934, 20.0140380859375, 27.15536880493164)","(0.05359508842229843, 0.04266514256596565, -0.04045997932553291)","(-0.17046882212162018, -0.18197402358055115, 0.18389156460762024)","(0.0, 0.0, 0.0)","(-26.511428833007812, 9.015167236328125, -35.18478775024414)","(-20.313119888305664, 16.41590690612793, -26.984466552734375)","(0.10391552746295929, 0.23361918330192566, 0.4847865104675293)","(0.00045777764171361923, 0.0028992583975195885, 0.01739555038511753)","(0.0, 1.5259254723787308e-05, 0.0003814813680946827)","(36.29999923706055, 26.200000762939453, 17.0)"
2023/08/08/18:15:02.280370,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.33155345916748, 9.302042007446289, 10.116886138916016, 11.764884948730469, 13.444929122924805, 14.712973594665527, 16.763816833496094, 19.97283935546875, 21.378215789794922, 21.629993438720703, 22.23883819580078, 23.003326416015625, 24.1798152923584, 24.66963768005371, 25.13199234008789, 26.40919303894043, 28.139591217041016, 28.469192504882812, 29.627368927001953)","(-0.5503324270248413, 0.6971196532249451, 0.05417035147547722, -0.05397859588265419, -0.26912596821784973, -0.17928947508335114, -0.8845586776733398, 0.2571413815021515, -0.46787843108177185, -0.45474329590797424, -0.6077625751495361, -0.5677819848060608, 1.0133211612701416, -0.2076689898967743, -0.5590571761131287, -0.4969290792942047, -0.4597288966178894, -0.4498535990715027, -0.43796488642692566)","(0.18504208326339722, -0.06682607531547546, 0.8652874231338501, -0.8648080825805664, 0.45579794049263, -1.0835987329483032, -0.06855186074972153, 1.287624478340149, 0.2577166259288788, 0.2703723609447479, 0.13518618047237396, 0.17046882212162018, 0.1426645666360855, 0.5255962014198303, 0.17765957117080688, 0.23230931162834167, 0.26577028632164, 0.27459093928337097, 0.2871508002281189)","(0.0, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192, 0.004577776417136192, 0.0, -0.5310220718383789, -0.13275551795959473, 0.009155552834272385, 0.0, -0.03662221133708954, -0.027466658502817154, 0.0, 0.0, 0.0, 0.0, 0.004577776417136192)","(-28.89187240600586, -30.765708923339844, -22.22357940673828, -38.770713806152344, -31.855220794677734, -26.523635864257812, -4.910428047180176, 22.281564712524414, -14.951017379760742, -20.590837478637695, -9.872737884521484, -11.081271171569824, 3.396710157394409, -20.609149932861328, -12.805566787719727, -10.061952590942383, -8.008056640625, -6.564531326293945, -11.90832233428955)","(-36.091190338134766, -41.36478805541992, -3.625598907470703, -21.170690536499023, -27.655872344970703, 0.07324442267417908, -24.109622955322266, 56.28223419189453, -18.951993942260742, -24.390392303466797, -18.67427635192871, -18.28058624267578, -22.19916343688965, -14.410840034484863, -19.8034610748291, -15.863521575927734, -12.0059814453125, -10.165715217590332, -14.908291816711426)","(0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.06866664439439774, 0.015259254723787308, 0.05081331729888916, 0.02075258642435074, 0.0025940733030438423, 0.05081331729888916, 0.06866664439439774, 0.015259254723787308, 0.05081331729888916, 0.05081331729888916, 0.02075258642435074, 0.037690360099077225, 0.037690360099077225, 0.006256294436752796, 0.00839259009808302, 0.02075258642435074)","(0.01739555038511753, 0.024414807558059692, 0.01739555038511753, 0.024414807558059692, 0.013733329251408577, 0.021820735186338425, 0.01541184727102518, 0.0068666646257042885, 0.021820735186338425, 0.024414807558059692, 0.013733329251408577, 0.021820735186338425, 0.021820735186338425, 0.01541184727102518, 0.019379254430532455, 0.019379254430532455, 0.009765923023223877, 0.010986663401126862, 0.01541184727102518)","(6.103701889514923e-05, 0.00012207403779029846, 4.577776417136192e-05, 7.629627361893654e-05, 3.0518509447574615e-05, 6.103701889514923e-05, 7.629627361893654e-05, 0.0, 7.629627361893654e-05, 9.155552834272385e-05, 3.0518509447574615e-05, 9.155552834272385e-05, 0.0002136295661330223, 3.0518509447574615e-05, 6.103701889514923e-05, 6.103701889514923e-05, 1.5259254723787308e-05, 1.5259254723787308e-05, 4.577776417136192e-05)","(21.5, 19.0, 21.399999618530273, 18.299999237060547, 23.299999237060547, 19.799999237060547, 22.299999237060547, 29.399999618530273, 19.100000381469727, 18.100000381469727, 23.0, 19.100000381469727, 19.299999237060547, 22.0, 20.799999237060547, 20.100000381469727, 26.200000762939453, 25.399999618530273, 22.200000762939453)"
2023/08/08/18:15:02.319663,20,"(1, 1, 1)","(9.99786376953125, 20.00946044921875, 26.821191787719727)","(0.053499214351177216, 0.04285689443349838, -0.03959708660840988)","(-0.1705646961927414, -0.1815905123949051, 0.18475444614887238)","(0.0, 0.0, 0.0)","(-26.46565055847168, 8.838160514831543, -35.6151008605957)","(-20.26734161376953, 16.23584747314453, -27.216405868530273)","(0.10391552746295929, 0.23361918330192566, 0.5256813168525696)","(0.00030518509447574615, 0.0025940733030438423, 0.01907406933605671)","(0.0, 1.5259254723787308e-05, 0.0005493331700563431)","(36.099998474121094, 26.200000762939453, 16.299999237060547)"
2023/08/08/18:15:02.350949,20,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(8.34986400604248, 9.23337459564209, 10.121463775634766, 11.719107627868652, 12.034974098205566, 13.504440307617188, 14.703818321228027, 16.814172744750977, 17.638172149658203, 19.968259811401367, 21.346172332763672, 21.904659271240234, 22.737815856933594, 23.941770553588867, 24.756614685058594, 26.349681854248047, 27.30185890197754, 28.560747146606445, 29.691457748413086)","(-0.5477437376976013, -0.8640410304069519, 0.05436210334300995, -0.05330745875835419, 0.03240633383393288, -0.2671125531196594, -0.1816864013671875, -0.8845586776733398, -0.06557968258857727, 0.2573331296443939, -0.4627969563007355, -0.6094883680343628, -0.6458256244659424, -0.5675902366638184, 1.0346057415008545, -0.489834189414978, -0.5161044001579285, -0.44573089480400085, -0.4413205683231354)","(0.18724724650382996, -0.053499214351177216, 0.8655750751495361, -0.8637534379959106, 0.8399760127067566, 0.45838662981987, -1.0884884595870972, -0.06855186074972153, -0.8813947439193726, 1.2882955074310303, 0.2628939747810364, 0.1335562765598297, 0.1015334501862526, 0.1705646961927414, 0.15464915335178375, 0.2389248013496399, 0.21466799080371857, 0.2781383693218231, 0.2832198441028595)","(0.0, 0.0, 0.0, 0.004577776417136192, 0.0, 0.0, 0.004577776417136192, 0.0, -0.004577776417136192, 0.0, -0.4623554050922394, 0.0, -0.009155552834272385, 0.009155552834272385, 0.013733329251408577, 0.0, 0.004577776417136192, 0.0, 0.0)","(-28.629413604736328, -24.802392959594727, -22.128971099853516, -40.92531967163086, -40.730003356933594, -31.8369083404541, -26.099430084228516, -4.937894821166992, -34.940643310546875, 22.379222869873047, 0.503555417060852, -15.65599536895752, -14.853358268737793, -12.622455596923828, 7.05282735824585, -10.272530555725098, -19.458600997924805, -8.050783157348633, -12.811670303344727)","(-35.828731536865234, -42.40241622924805, -3.527939796447754, -23.32529640197754, -24.130985260009766, -27.439191818237305, 0.6988738775253296, -24.137088775634766, -16.141239166259766, 56.3798942565918, -3.4943692684173584, -24.45753288269043, -24.652851104736328, -19.8217716217041, -18.942838668823242, -16.074098587036133, -25.656911849975586, -11.450544357299805, -16.0130615234375)","(0.027924437075853348, 0.06866664439439774, 0.027924437075853348, 0.09277626872062683, 0.16891995072364807, 0.02075258642435074, 0.05081331729888916, 0.02075258642435074, 0.16891995072364807, 0.0025940733030438423, 0.00045777764171361923, 0.05081331729888916, 0.037690360099077225, 0.037690360099077225, 0.00839259009808302, 0.06866664439439774, 0.16891995072364807, 0.011291848495602608, 0.027924437075853348)","(0.01907406933605671, 0.02700888179242611, 0.01907406933605671, 0.030365917831659317, 0.03814813867211342, 0.017090365290641785, 0.024109622463583946, 0.017090365290641785, 0.03814813867211342, 0.007629627361893654, 0.003814813680946827, 0.024109622463583946, 0.02151555009186268, 0.02151555009186268, 0.012054811231791973, 0.02700888179242611, 0.03814813867211342, 0.013580736704170704, 0.01907406933605671)","(6.103701889514923e-05, 0.0001831110566854477, 4.577776417136192e-05, 9.155552834272385e-05, 0.00013733329251408577, 3.0518509447574615e-05, 6.103701889514923e-05, 7.629627361893654e-05, 0.00013733329251408577, 0.0, 0.0, 9.155552834272385e-05, 7.629627361893654e-05, 6.103701889514923e-05, 6.103701889514923e-05, 9.155552834272385e-05, 0.0001831110566854477, 3.0518509447574615e-05, 4.577776417136192e-05)","(21.700000762939453, 18.799999237060547, 21.600000381469727, 17.399999618530273, 16.0, 22.600000381469727, 19.799999237060547, 22.5, 15.800000190734863, 29.600000381469727, 35.5, 19.399999618530273, 20.700000762939453, 20.100000381469727, 25.299999237060547, 18.600000381469727, 15.100000381469727, 24.299999237060547, 21.299999237060547)"
